,NEE_obs,SIF_obs,Tair,SWC,RH,PAR,LAI,wind_speed,wind_direction,APAR_label,NEE_night
2013-06-19 00:00:00,2.37,0.0,12.6,0.619,94.5,0.0,2.45,1.4,339.0,0.0,3.5244444444444443
2013-06-19 01:00:00,10.95,0.0,12.3,0.619,95.7,0.0,2.45,1.5,344.0,0.0,3.5244444444444443
2013-06-19 02:00:00,4.16,0.0,11.9,0.619,93.8,0.0,2.45,2.0,353.0,0.0,3.5244444444444443
2013-06-19 03:00:00,5.25,0.0,11.3,0.6185,92.1,0.0,2.45,2.3,337.0,0.0,3.5244444444444443
2013-06-19 04:00:00,2.32,0.0,11.2,0.618,88.1,0.0,2.45,3.0,342.0,0.0,3.5244444444444443
2013-06-19 19:00:00,4.61,0.0,16.6,0.608,57.2,0.0,2.45,1.8,338.0,0.0,3.5244444444444443
2013-06-19 20:00:00,2.22,0.0,15.4,0.608,58.5,0.0,2.45,1.9,330.0,0.0,3.5244444444444443
2013-06-19 21:00:00,3.19,0.0,15.5,0.608,53.7,0.0,2.45,2.1,338.0,0.0,3.5244444444444443
2013-06-19 22:00:00,3.57,0.0,14.4,0.608,56.8,0.0,2.45,2.2,324.0,0.0,3.5244444444444443
2013-06-19 23:00:00,4.03,0.0,12.6,0.608,66.9,0.0,2.45,1.8,319.0,0.0,3.5244444444444443
2013-06-20 00:00:00,13.66,0.0,11.7,0.608,74.5,0.0,2.45,1.1,344.0,0.0,3.5900000000000003
2013-06-20 01:00:00,3.99,0.0,12.3,0.608,70.7,0.0,2.45,0.8,307.0,0.0,3.5900000000000003
2013-06-20 02:00:00,4.0,0.0,12.4,0.608,68.8,0.0,2.45,1.5,301.0,0.0,3.5900000000000003
2013-06-20 03:00:00,3.72,0.0,10.6,0.608,79.8,0.0,2.45,1.1,327.0,0.0,3.5900000000000003
2013-06-20 19:00:00,4.49,0.0,19.9,0.6005,54.0,0.0,2.45,1.5,233.0,0.0,3.5900000000000003
2013-06-20 20:00:00,-4.48,0.0,19.0,0.602,60.2,0.0,2.45,1.5,223.0,0.0,3.5900000000000003
2013-06-20 21:00:00,5.13,0.0,17.8,0.602,75.8,0.0,2.45,2.0,201.0,0.0,3.5900000000000003
2013-06-20 22:00:00,1.98,0.0,16.5,0.602,84.1,0.0,2.45,1.4,207.0,0.0,3.5900000000000003
2013-06-20 23:00:00,1.82,0.0,15.6,0.602,87.4,0.0,2.45,1.2,197.0,0.0,3.5900000000000003
2013-06-21 00:00:00,2.28,0.0,14.8,0.602,88.3,0.0,2.45,1.1,190.0,0.0,4.307
2013-06-21 01:00:00,1.78,0.0,14.7,0.6025,85.0,0.0,2.45,1.7,205.0,0.0,4.307
2013-06-21 02:00:00,4.38,0.0,14.0,0.603,87.9,0.0,2.45,1.7,207.0,0.0,4.307
2013-06-21 03:00:00,2.93,0.0,13.5,0.603,90.8,0.0,2.45,1.8,207.0,0.0,4.307
2013-06-21 04:00:00,5.67,0.0,13.1,0.603,93.6,0.0,2.45,1.5,214.0,0.0,4.307
2013-06-21 06:00:00,-8.52,0.0032829609999999,15.5,0.603,87.9,444.7666,2.45,1.4,212.0,1.0,4.307
2013-06-21 07:00:00,-22.26,0.0219190999999999,17.1,0.603,84.3,845.9479,2.45,1.6,228.0,1.0,4.307
2013-06-21 08:00:00,-21.5,0.070281231,18.9,0.602,79.7,1225.0365000000002,2.45,1.4,240.0,1.0,4.307
2013-06-21 09:00:00,-18.01,0.562760366,20.4,0.602,73.6,1564.4865,2.45,1.9,289.0,1.0,4.307
2013-06-21 10:00:00,-25.85,1.109569082,22.2,0.6014999999999999,60.8,1830.0885,2.45,2.0,277.0,1.0,4.307
2013-06-21 11:00:00,-23.96,1.551938586,23.4,0.601,52.1,1977.146,2.45,2.3,282.0,1.0,4.307
2013-06-21 12:00:00,-13.56,1.270650154,24.4,0.6,47.3,2027.308,2.45,2.3,289.0,1.0,4.307
2013-06-21 13:00:00,-20.44,1.074066384,24.8,0.599,45.3,1935.949,2.45,2.2,304.0,1.0,4.307
2013-06-21 14:00:00,-10.98,0.8985211679999999,24.8,0.5974999999999999,48.4,1594.975,2.45,2.0,283.0,1.0,4.307
2013-06-21 15:00:00,-12.76,0.5715915079999999,24.8,0.5965,52.2,959.03895,2.45,1.3,223.0,1.0,4.307
2013-06-21 16:00:00,-13.48,0.424234235,25.1,0.596,53.3,1045.6485000000002,2.45,1.3,216.0,1.0,4.307
2013-06-21 17:00:00,-9.93,0.28897563,25.0,0.596,53.2,736.1889,2.45,1.1,214.0,1.0,4.307
2013-06-21 19:00:00,5.47,0.0,20.3,0.596,70.3,0.0,2.45,0.8,198.0,0.0,4.307
2013-06-21 20:00:00,5.39,0.0,20.0,0.596,83.9,0.0,2.45,0.8,327.0,0.0,4.307
2013-06-21 21:00:00,5.13,0.0,18.7,0.596,91.5,0.0,2.45,1.1,186.0,0.0,4.307
2013-06-21 22:00:00,5.32,0.0,18.8,0.596,86.5,0.0,2.45,1.4,200.0,0.0,4.307
2013-06-21 23:00:00,4.72,0.0,18.4,0.596,84.4,0.0,2.45,1.3,207.0,0.0,4.307
2013-06-22 00:00:00,2.73,0.0,18.1,0.5965,83.7,0.0,2.45,1.7,221.0,0.0,4.180000000000001
2013-06-22 01:00:00,1.85,0.0,17.1,0.597,86.2,0.0,2.45,1.6,221.0,0.0,4.180000000000001
2013-06-22 02:00:00,8.46,0.0,16.5,0.597,86.5,0.0,2.45,1.6,220.0,0.0,4.180000000000001
2013-06-22 03:00:00,3.52,0.0,16.0,0.597,87.6,0.0,2.45,1.5,225.0,0.0,4.180000000000001
2013-06-22 04:00:00,0.8,0.0,15.6,0.597,88.2,0.0,2.45,1.4,228.0,0.0,4.180000000000001
2013-06-22 06:00:00,-13.71,0.233807918,17.0,0.597,83.9,347.02385000000004,2.45,1.4,206.0,1.0,4.180000000000001
2013-06-22 07:00:00,-19.62,0.384633906,18.3,0.597,81.5,685.1402,2.45,1.7,205.0,1.0,4.180000000000001
2013-06-22 08:00:00,-28.31,0.494502242,20.0,0.597,77.2,1044.4715,2.45,1.5,225.0,1.0,4.180000000000001
2013-06-22 09:00:00,-27.41,0.752190812,21.1,0.596,74.2,1309.3365,2.45,2.0,233.0,1.0,4.180000000000001
